gpstime,altitude,speed,heading,hpdop,vdop,pdop,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,lat
1411812169.00,125.6,0.051,169.4600,1.1,1.5,1.8,-0.015625,0.017578,0.0039063,-0.49219,-0.097656,9.7422,41.178005
1411812171.00,125.7,0.057,169.1600,1.1,1.5,1.8,-0.017578,0.019531,0.0039063,-0.46875,0.050781,9.7891,41.178005
1411812172.00,125.7,0.062,171.4900,1.1,1.5,1.8,-0.015625,0.011719,0.0019531,-0.48047,0.19141,10.0156,41.178005
1411812173.00,125.7,0.062,168.4500,1.1,1.5,1.8,-0.019531,0.015625,0.0039063,-0.53516,-0.10938,10.0781,41.178007
1411812174.00,125.7,0.051,161.6100,1.1,1.5,1.8,-0.017578,0.015625,0.0,-0.51953,-0.050781,10.2031,41.178007
1411812175.00,125.7,0.062,166.1800,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.55078,0.039063,9.9961,41.178007
1411812177.00,125.7,0.057,157.6800,1.1,1.5,1.8,-0.017578,0.017578,0.0019531,-0.49609,0.0,9.9453,41.178007
1411812178.00,125.7,0.057,163.2500,1.1,1.5,1.8,-0.013672,0.013672,0.0039063,-0.51953,-0.011719,9.7422,41.178007
1411812179.00,125.7,0.057,171.7800,1.1,1.5,1.8,-0.019531,0.017578,0.0,-0.55859,-0.039063,9.8672,41.178007
1411812181.00,125.6,0.057,166.4700,1.1,1.5,1.8,-0.017578,0.017578,0.0,-0.66406,0.09375,10.0156,41.178007
1411812182.00,125.7,0.057,161.8600,1.1,1.5,1.8,-0.015625,0.017578,0.0019531,-0.66406,0.18359,10.1133,41.178007
1411812183.00,125.7,0.057,167.4400,1.1,1.5,1.8,-0.017578,0.019531,0.0019531,-0.67188,-0.070313,10.2539,41.178007
1411812184.00,125.7,0.057,162.8000,1.1,1.5,1.8,-0.013672,0.013672,0.0019531,-0.64453,0.011719,10.2148,41.178007
1411812186.00,125.7,0.057,164.2100,1.1,1.5,1.8,-0.023438,0.019531,0.0,-0.52344,0.023438,10.1367,41.178007
1411812187.00,125.8,0.062,168.1800,1.1,1.5,1.8,-0.015625,0.013672,0.0039063,-0.51172,0.019531,9.9219,41.178007
1411812188.00,125.8,0.067,159.8800,1.1,1.5,1.8,-0.017578,0.015625,0.0039063,-0.59766,-0.0078125,9.6914,41.178007
1411812189.00,125.8,0.057,165.0800,1.1,1.5,1.8,-0.019531,0.015625,0.0019531,-0.56641,0.015625,9.9297,41.178007
1411812190.00,125.9,0.057,164.9100,1.1,1.5,1.8,-0.017578,0.015625,0.0039063,-0.60547,0.21484,10.0508,41.178007
1411812192.00,125.9,0.057,163.8800,1.1,1.5,1.8,-0.019531,0.017578,0.0019531,-0.64063,-0.027344,10.1172,41.178007
1411812193.00,125.9,0.062,162.0100,1.1,1.5,1.8,-0.017578,0.019531,0.0039063,-0.51563,-0.12891,10.1172,41.178007
1411812194.00,126.0,0.062,165.7700,1.1,1.5,1.8,-0.017578,0.013672,0.0019531,-0.42969,0.050781,10.1094,41.178007
1411812195.00,126.0,0.062,170.3600,1.1,1.5,1.8,-0.019531,0.015625,0.0039063,-0.45703,-0.054688,10.0625,41.178007
1411812196.00,126.0,0.062,171.8700,1.1,1.5,1.8,-0.015625,0.011719,0.0039063,-0.39063,0.011719,9.8086,41.178007
1411812197.00,126.1,0.062,169.3400,1.1,1.5,1.8,-0.019531,0.017578,0.0039063,-0.58594,-0.066406,9.7617,41.178007
1411812198.00,126.1,0.062,171.8800,1.1,1.5,1.8,-0.017578,0.011719,0.0039063,-0.58984,0.097656,9.9648,41.178007
1411812199.00,126.2,0.062,172.5300,1.1,1.5,1.8,-0.011719,0.017578,0.0039063,-0.64063,0.20313,9.9453,41.178007
1411812201.00,126.4,0.062,172.7500,1.1,1.5,1.8,-0.021484,0.019531,0.0019531,-0.63672,-0.11328,10.168,41.178007
1411812202.00,126.4,0.062,173.4300,1.1,1.5,1.8,-0.013672,0.015625,0.0039063,-0.60156,0.011719,10.207,41.178007
1411812203.00,126.5,0.067,173.6400,1.1,1.5,1.8,-0.023438,0.017578,0.0019531,-0.64844,0.050781,9.7188,41.178007
1411812204.00,126.6,0.062,172.7500,1.1,1.5,1.8,-0.017578,0.011719,0.0019531,-0.55859,0.027344,10.0234,41.178007
1411812205.00,126.7,0.062,172.3700,1.1,1.5,1.8,-0.017578,0.017578,0.0019531,-0.69141,0.0,9.7852,41.178007
1411812207.00,126.8,0.057,172.3600,1.1,1.5,1.8,-0.021484,0.017578,0.0039063,-0.65625,0.046875,9.8008,41.178007
1411812208.00,126.9,0.067,176.7800,1.1,1.5,1.8,-0.015625,0.013672,0.0019531,-0.62109,0.19922,10.0391,41.178005
1411812209.00,126.9,0.067,173.5900,1.1,1.5,1.8,-0.019531,0.015625,0.0039063,-0.66016,0.0,10.1445,41.178005
1411812210.00,127.1,0.062,172.2600,1.1,1.5,1.8,-0.015625,0.017578,0.0019531,-0.58203,-0.074219,10.1914,41.178005
1411812212.00,127.2,0.129,174.0000,1.1,1.5,1.8,-0.019531,0.015625,0.0,-0.49219,0.074219,10.0742,41.178005
1411812213.00,127.3,0.129,172.7200,1.1,1.5,1.8,-0.019531,0.015625,0.0019531,-0.44531,-0.054688,10.0703,41.178003
1411812214.00,127.4,0.046,177.5700,1.1,1.5,1.8,-0.015625,0.013672,0.0039063,-0.50781,0.0,9.7461,41.178003
1411812216.00,127.6,0.046,180.2400,1.1,1.5,1.8,-0.019531,0.019531,0.0019531,-0.53125,-0.046875,9.7695,41.178003
1411812217.00,127.7,0.041,176.3300,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.53125,0.097656,9.9805,41.178003
1411812218.00,127.8,0.062,175.7400,1.1,1.5,1.8,-0.017578,0.015625,0.0039063,-0.47656,0.10156,9.9688,41.178003
1411812219.00,128.0,0.067,174.9600,1.1,1.5,1.8,-0.019531,0.017578,0.0019531,-0.60156,-0.16406,10.1406,41.178003
1411812221.00,128.1,0.072,182.4600,1.1,1.5,1.8,-0.017578,0.015625,0.0039063,-0.60156,-0.027344,10.1094,41.178003
1411812222.00,128.1,0.062,167.3100,1.1,1.5,1.8,-0.015625,0.011719,0.0019531,-0.5,0.0,10.0938,41.178003
1411812223.00,128.2,0.077,184.6900,1.1,1.5,1.8,-0.015625,0.011719,0.0019531,-0.55859,-0.011719,9.957,41.178003
1411812224.00,128.1,0.067,170.4200,1.1,1.5,1.8,-0.017578,0.015625,0.0039063,-0.61719,0.015625,9.6992,41.178003
1411812225.00,128.0,0.062,164.2700,1.1,1.5,1.8,-0.019531,0.017578,0.0019531,-0.69922,0.0039063,9.75,41.178003
1411812226.00,128.0,0.087,184.8400,1.1,1.5,1.8,-0.015625,0.013672,0.0019531,-0.69922,0.17188,10.0352,41.178005
1411812227.00,127.8,0.067,173.1400,1.1,1.5,1.8,-0.019531,0.017578,0.0039063,-0.65234,-0.039063,10.0469,41.178005
1411812228.00,127.7,0.072,173.5500,1.1,1.5,1.8,-0.015625,0.017578,0.0019531,-0.69141,-0.0039063,10.1641,41.178005
1411812229.00,127.5,0.077,184.4700,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.57422,0.03125,10.0234,41.178007
1411812231.00,127.3,0.057,153.5900,1.1,1.5,1.8,-0.019531,0.015625,0.0039063,-0.54688,0.019531,10.0195,41.178007
1411812232.00,127.0,0.072,177.5700,1.1,1.5,1.8,-0.013672,0.011719,0.0039063,-0.55469,0.019531,9.8789,41.178008
1411812233.00,126.9,0.082,186.1400,1.1,1.5,1.8,-0.019531,0.017578,0.0039063,-0.62109,-0.070313,9.7617,41.178008
1411812234.00,126.7,0.062,166.0400,1.1,1.5,1.8,-0.017578,0.013672,0.0019531,-0.55078,0.14453,9.8906,41.178010
1411812236.00,126.3,0.057,165.1200,1.1,1.5,1.8,-0.015625,0.013672,0.0019531,-0.58984,0.17578,10.0547,41.178012
1411812237.00,126.5,0.093,188.3800,1.1,1.5,1.8,-0.017578,0.019531,0.0019531,-0.57031,-0.15625,10.2305,41.178010
1411812238.00,126.3,0.062,154.4100,1.1,1.5,1.8,-0.013672,0.015625,0.0019531,-0.52344,0.046875,10.1328,41.178012
1411812239.00,126.2,0.087,189.2700,1.1,1.5,1.8,-0.023438,0.015625,0.0019531,-0.38281,0.035156,10.0273,41.178012
1411812241.00,126.5,0.062,166.5500,1.1,1.5,1.8,-0.017578,0.013672,0.0039063,-0.41797,-0.050781,9.9453,41.178010
1411812242.00,126.6,0.077,186.3100,1.1,1.5,1.8,-0.015625,0.011719,0.0019531,-0.60156,-0.011719,9.7188,41.178010
