systime, gpstime, latitude, longitude, altitude, speed, heading, hpdop, vdop, pdop
1411812183.71149, 1411812181.00, 41.178007, -8.598390, 125.6, 0.057, 166.4700, 1.1, 1.5, 1.8
1411812184.67543, 1411812182.00, 41.178007, -8.598390, 125.7, 0.057, 161.8600, 1.1, 1.5, 1.8
1411812185.68142, 1411812183.00, 41.178007, -8.598390, 125.7, 0.057, 167.4400, 1.1, 1.5, 1.8
1411812186.67096, 1411812184.00, 41.178007, -8.598390, 125.7, 0.057, 162.8000, 1.1, 1.5, 1.8
1411812188.68371, 1411812186.00, 41.178007, -8.598390, 125.7, 0.057, 164.2100, 1.1, 1.5, 1.8
1411812189.70620, 1411812187.00, 41.178007, -8.598390, 125.8, 0.062, 168.1800, 1.1, 1.5, 1.8
1411812190.69392, 1411812188.00, 41.178007, -8.598388, 125.8, 0.067, 159.8800, 1.1, 1.5, 1.8
1411812191.67624, 1411812189.00, 41.178007, -8.598388, 125.8, 0.057, 165.0800, 1.1, 1.5, 1.8
1411812193.62581, 1411812190.00, 41.178007, -8.598388, 125.9, 0.057, 164.9100, 1.1, 1.5, 1.8
1411812194.67140, 1411812192.00, 41.178007, -8.598388, 125.9, 0.057, 163.8800, 1.1, 1.5, 1.8
1411812195.71577, 1411812193.00, 41.178007, -8.598388, 125.9, 0.062, 162.0100, 1.1, 1.5, 1.8
1411812196.72989, 1411812194.00, 41.178007, -8.598388, 126.0, 0.062, 165.7700, 1.1, 1.5, 1.8
1411812198.05985, 1411812195.00, 41.178007, -8.598388, 126.0, 0.062, 170.3600, 1.1, 1.5, 1.8
1411812198.71056, 1411812196.00, 41.178007, -8.598388, 126.0, 0.062, 171.8700, 1.1, 1.5, 1.8
1411812199.70403, 1411812197.00, 41.178007, -8.598388, 126.1, 0.062, 169.3400, 1.1, 1.5, 1.8
1411812200.69930, 1411812198.00, 41.178007, -8.598388, 126.1, 0.062, 171.8800, 1.1, 1.5, 1.8
1411812201.71273, 1411812199.00, 41.178007, -8.598388, 126.2, 0.062, 172.5300, 1.1, 1.5, 1.8
1411812203.68930, 1411812201.00, 41.178007, -8.598388, 126.4, 0.062, 172.7500, 1.1, 1.5, 1.8
1411812204.69691, 1411812202.00, 41.178007, -8.598388, 126.4, 0.062, 173.4300, 1.1, 1.5, 1.8
1411812205.69964, 1411812203.00, 41.178007, -8.598388, 126.5, 0.067, 173.6400, 1.1, 1.5, 1.8
1411812206.66880, 1411812204.00, 41.178007, -8.598388, 126.6, 0.062, 172.7500, 1.1, 1.5, 1.8
1411812208.65690, 1411812205.00, 41.178007, -8.598388, 126.7, 0.062, 172.3700, 1.1, 1.5, 1.8
1411812209.72371, 1411812207.00, 41.178007, -8.598388, 126.8, 0.057, 172.3600, 1.1, 1.5, 1.8
1411812210.70898, 1411812208.00, 41.178005, -8.598388, 126.9, 0.067, 176.7800, 1.1, 1.5, 1.8
1411812211.70696, 1411812209.00, 41.178005, -8.598388, 126.9, 0.067, 173.5900, 1.1, 1.5, 1.8
1411812213.62382, 1411812210.00, 41.178005, -8.598388, 127.1, 0.062, 172.2600, 1.1, 1.5, 1.8
1411812214.68703, 1411812212.00, 41.178005, -8.598388, 127.2, 0.129, 174.0000, 1.1, 1.5, 1.8
1411812215.72066, 1411812213.00, 41.178003, -8.598388, 127.3, 0.129, 172.7200, 1.1, 1.5, 1.8
1411812216.67133, 1411812214.00, 41.178003, -8.598388, 127.4, 0.046, 177.5700, 1.1, 1.5, 1.8
1411812218.71462, 1411812216.00, 41.178003, -8.598388, 127.6, 0.046, 180.2400, 1.1, 1.5, 1.8
1411812219.75271, 1411812217.00, 41.178003, -8.598388, 127.7, 0.041, 176.3300, 1.1, 1.5, 1.8
1411812220.70964, 1411812218.00, 41.178003, -8.598388, 127.8, 0.062, 175.7400, 1.1, 1.5, 1.8
1411812221.68909, 1411812219.00, 41.178003, -8.598390, 128.0, 0.067, 174.9600, 1.1, 1.5, 1.8
1411812223.70511, 1411812221.00, 41.178003, -8.598390, 128.1, 0.072, 182.4600, 1.1, 1.5, 1.8
1411812224.70086, 1411812222.00, 41.178003, -8.598390, 128.1, 0.062, 167.3100, 1.1, 1.5, 1.8
1411812225.69436, 1411812223.00, 41.178003, -8.598388, 128.2, 0.077, 184.6900, 1.1, 1.5, 1.8
1411812226.74544, 1411812224.00, 41.178003, -8.598388, 128.1, 0.067, 170.4200, 1.1, 1.5, 1.8
1411812228.07933, 1411812225.00, 41.178003, -8.598388, 128.0, 0.062, 164.2700, 1.1, 1.5, 1.8
1411812228.72887, 1411812226.00, 41.178005, -8.598388, 128.0, 0.087, 184.8400, 1.1, 1.5, 1.8
1411812229.74481, 1411812227.00, 41.178005, -8.598387, 127.8, 0.067, 173.1400, 1.1, 1.5, 1.8
1411812230.72787, 1411812228.00, 41.178005, -8.598385, 127.7, 0.072, 173.5500, 1.1, 1.5, 1.8
1411812231.70660, 1411812229.00, 41.178007, -8.598385, 127.5, 0.077, 184.4700, 1.1, 1.5, 1.8
1411812233.68998, 1411812231.00, 41.178007, -8.598383, 127.3, 0.057, 153.5900, 1.1, 1.5, 1.8
1411812234.72427, 1411812232.00, 41.178008, -8.598382, 127.0, 0.072, 177.5700, 1.1, 1.5, 1.8
1411812235.68355, 1411812233.00, 41.178008, -8.598382, 126.9, 0.082, 186.1400, 1.1, 1.5, 1.8
1411812236.72311, 1411812234.00, 41.178010, -8.598382, 126.7, 0.062, 166.0400, 1.1, 1.5, 1.8
