param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
alpha_,accuracy,-0.12881719980648373,0.8791346568433334,0.03537690711002137,-0.1981546636265446,-0.05947973598642288,0.8202429815726979,0.9422546272583322,0.0,-3.6412793070311427,0.0002712866224098804,11.847894471844041
alpha_,attack.init.eps,0.8804803211734639,2.412057990745275,0.037975532943791496,0.8060496443099182,0.9549109980370095,2.239045467147942,2.59843930642866,0.0,23.18546318959326,6.382793761481521e-119,392.63525525888855
alpha_,data.sample.random_state,-0.0026434035315746874,0.9973600871830741,0.0035787992333127013,-0.00965772113676714,0.004370914073617765,0.99038876488198,1.0043804804513974,0.0,-0.7386286179367014,0.46013254168510553,1.1198786039590138
alpha_,model.trainer.batch_size,1.106783141253719e-06,1.0000011067837538,4.0420589360192445e-06,-6.815506796732291e-06,9.02907307923973e-06,0.9999931845164288,1.0000090291138415,0.0,0.27381667580129754,0.7842255077798695,0.3506595270585723
alpha_,model.trainer.nb_epoch,0.0009342394461690875,1.0009346759837734,0.0007513999472075829,-0.0005384773883430731,0.0024069562806812482,0.9994616675645867,1.002409855325441,0.0,1.243331796390176,0.21374559186534792,2.2260334276821814
alpha_,predict_proba_time,0.9145300014856367,2.4956020469696787,0.017163355205130536,0.8808904434297128,0.9481695595415606,2.4130474322927737,2.58098100082585,0.0,53.28387081403885,0.0,inf
alpha_,train_time,0.0006840377668770114,1.0006842717740638,7.516051784860542e-05,0.0005367258588343649,0.0008313496749196579,1.0005368699219312,1.0008316953418441,0.0,9.101025198560464,8.948311714658161e-20,63.276946384157704
alpha_,Intercept,-3.7837373125904294,0.02273755508273975,0.05933680467528656,-3.900035312711679,-3.6674393124691798,0.020241196661642227,0.02554179082308658,0.0,-63.7671228387924,0.0,inf
beta_,Intercept,1.991661782756932,7.327700696774539,0.04264797151023193,1.908073294583187,2.075250270930677,6.740090112103851,7.966540002942134,0.0,46.70003548185405,0.0,inf
