,AIC,Training Set Concordance,Test Set Concordance,BIC,Mean $S(t;\theta)$
weibull,-1292.89,0.79,0.8,-1292.89,0.2
cox,,0.8,0.8,,0.12
log_logistic,-1474.32,0.79,0.79,-1474.32,0.17
log_normal,-1459.29,0.79,0.79,-1459.29,0.18
