param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
alpha_,accuracy,-0.2099109227779671,0.8106564537790295,0.0788627576797305,-0.3644790875517484,-0.05534275800418578,0.6945583607563657,0.9461607881848089,0.0,-2.6617243544847398,0.0077741512875826434,7.007099101384065
alpha_,attack.init.eps,0.4021692870244809,1.4950644062591443,0.05348042957404742,0.2973495711816172,0.5069890028673446,1.346285839931469,1.6602845492134037,0.0,7.519933744504599,5.4804007787609616e-14,44.05271192786708
alpha_,data.sample.random_state,-0.03751895188270822,0.963176163546168,0.030517388581985484,-0.09733193440561363,0.0222940306401972,0.9072548070617487,1.0225443996576957,0.0,-1.2294286512069315,0.21891113349659236,2.191582765165837
alpha_,model.trainer.batch_size,-1.171217260835449e-05,0.9999882878959788,5.504988184482463e-06,-2.2501751185258656e-05,-9.225940314503237e-07,0.9999774985019773,0.9999990774063942,0.0,-2.1275563572268736,0.033373883967022275,4.905136596335227
alpha_,model.trainer.nb_epoch,-0.004042198218060194,0.9959659604684455,0.0009667008425767125,-0.005936897053335075,-0.0021474993827853136,0.9940806914956274,0.997854804844277,0.0,-4.181436531373899,2.8967311422277152e-05,15.075214686195288
alpha_,predict_proba_time,0.4899972364406847,1.632311708958917,0.012416500718906293,0.4656613422176127,0.5143331306637567,1.5930674033104444,1.672522775663846,0.0,39.46339210487688,0.0,inf
alpha_,train_time,0.0006624889359814355,1.0006627084302449,5.485405774199391e-05,0.0005549769584012469,0.0007700009135616241,1.0005551309866063,1.000770297440369,0.0,12.077300445072861,1.3921563601256939e-33,109.1463058746154
alpha_,Intercept,-2.8055986415601137,0.06047056014448279,0.06354350559758411,-2.9301416239827978,-2.6810556591374297,0.05338947637946168,0.06849081302460941,0.0,-44.15240574430601,0.0,inf
beta_,Intercept,1.8033568423087727,6.069989300040241,0.04122069440445882,1.7225657658583016,1.8841479187592438,5.598875454382396,6.5807447232575225,0.0,43.74882248741798,0.0,inf
